P0,P1,P2,P3,P4
120.35643564356435,198.70247933884298,326.77777777777777,552.804,84.72519083969466
92.83168316831683,148.52892561983472,248.46153846153845,434.948,64.21374045801527
76.89108910891089,136.28925619834712,194.1965811965812,403.472,59.44274809160305
53.23762376237624,73.8099173553719,109.33333333333333,218.216,29.793893129770993
39.10891089108911,56.71900826446281,90.90598290598291,171.876,23.923664122137403
45.67326732673267,104.90082644628099,177.56410256410257,326.5,55.41984732824427
46.48514851485149,125.46280991735537,220.11111111111111,399.988,67.08396946564885
80.05940594059406,176.94214876033058,321.56410256410254,583.188,105.83969465648855
124.24752475247524,211.17355371900825,411.64957264957263,643.276,136.05343511450383
138.06930693069307,215.0,436.9059829059829,617.804,133.55725190839695
135.68316831683168,223.11570247933884,431.55555555555554,624.996,135.61068702290078
133.9108910891089,228.3388429752066,437.008547008547,660.192,138.9770992366412
132.46534653465346,235.9504132231405,441.0683760683761,690.444,144.81679389312978
139.55445544554456,238.04132231404958,434.4017094017094,691.036,143.08396946564886
132.6138613861386,227.43801652892563,383.95726495726495,635.28,129.3587786259542
112.48514851485149,215.9504132231405,329.65811965811963,591.264,115.21374045801527
98.78217821782178,222.12396694214877,307.22222222222223,591.768,108.3206106870229
117.43564356435644,239.16528925619835,345.5213675213675,641.236,118.8473282442748
137.3960396039604,238.37190082644628,389.9145299145299,678.556,121.97709923664122
146.82178217821783,256.099173553719,428.1880341880342,759.16,125.3969465648855
148.25742574257427,265.1570247933884,435.44444444444446,765.376,125.8473282442748
146.92079207920793,262.79338842975204,444.88034188034186,723.44,120.55725190839695
137.77227722772278,260.39669421487605,441.20512820512823,729.416,117.80152671755725
101.85148514851485,185.53719008264463,315.36752136752136,529.164,79.20610687022901
