P0,P1,P2,P3,P4,P5
120.35643564356435,198.70247933884298,326.77777777777777,512.3623188405797,84.72519083969466,602.6339285714286
92.83168316831683,148.52892561983472,248.46153846153845,393.57971014492756,64.21374045801527,485.91964285714283
76.89108910891089,136.28925619834712,194.1965811965812,415.0,59.44274809160305,389.26785714285717
53.23762376237624,73.8099173553719,109.33333333333333,208.64492753623188,29.793893129770993,230.00892857142858
39.10891089108911,56.71900826446281,90.90598290598291,169.15217391304347,23.923664122137403,175.23214285714286
45.67326732673267,104.90082644628099,177.56410256410257,333.92028985507244,55.41984732824427,317.35714285714283
46.48514851485149,125.46280991735537,220.11111111111111,435.81159420289856,67.08396946564885,355.8482142857143
80.05940594059406,176.94214876033058,321.56410256410254,590.1594202898551,105.83969465648855,574.5982142857143
124.24752475247524,211.17355371900825,411.64957264957263,630.731884057971,136.05343511450383,658.7321428571429
138.06930693069307,215.0,436.9059829059829,572.1739130434783,133.55725190839695,674.0267857142857
135.68316831683168,223.11570247933884,431.55555555555554,551.7028985507246,135.61068702290078,715.3035714285714
133.9108910891089,228.3388429752066,437.008547008547,577.695652173913,138.9770992366412,761.8392857142857
132.46534653465346,235.9504132231405,441.0683760683761,625.1376811594203,144.81679389312978,770.9107142857143
139.55445544554456,238.04132231404958,434.4017094017094,634.6594202898551,143.08396946564886,760.5
132.6138613861386,227.43801652892563,383.95726495726495,615.5942028985507,129.3587786259542,659.5357142857143
112.48514851485149,215.9504132231405,329.65811965811963,626.2101449275362,115.21374045801527,548.2053571428571
98.78217821782178,222.12396694214877,307.22222222222223,667.7536231884058,108.3206106870229,498.14285714285717
117.43564356435644,239.16528925619835,345.5213675213675,683.195652173913,118.8473282442748,589.5357142857143
137.3960396039604,238.37190082644628,389.9145299145299,650.9855072463768,121.97709923664122,712.5267857142857
146.82178217821783,256.099173553719,428.1880341880342,680.9057971014493,125.3969465648855,855.5803571428571
148.25742574257427,265.1570247933884,435.44444444444446,684.3695652173913,125.8473282442748,865.1875
146.92079207920793,262.79338842975204,444.88034188034186,671.3188405797101,120.55725190839695,787.6607142857143
137.77227722772278,260.39669421487605,441.20512820512823,682.9057971014493,117.80152671755725,786.7232142857143
101.85148514851485,185.53719008264463,315.36752136752136,496.67391304347825,79.20610687022901,569.1964285714286
